word1,word2,word3,word4,category
man,woman,king,queen,gender
immigrant,culture,spice,food
undocumented,illegal,documented,legal
border,country,gate,house
immigrant,country,poision,blood
immigration,nation,water,plant
diversity,society,biodiversity,forests
expat,immigrant,insider,outsider
passport,mobility,license,driving
deportation,state,eviction,landlord
immigrant,citizenship,applicant,job
naturalization,immigrant,graduation,student
ICE,nationalism,symptom,disease
ICE,nation,firewall,network
Kosovar,Albania,Syrian,Turkey
Sudanese,Uganda,Rwandan,Congo
Tibetan,India,Cuban,Florida
Filipino,Nurse,Indian,Doctor
Chinese,Chef,Turkish,Barber
Polish,Builder,Nigerian,Security
immigrant,benefit,taxpayer,bill
engine,vehicle,immigrant,economy
host,immigrant,Oxford,student
immigrant,destination,invader,defender
Syria,Turkey,Russia,Ukraine
Myanmar,Bangladesh,Israel,Gaza
bird,migration,bear,hibernation
swallow,England,whale,Alaska
goose,Greenland,seal,California
bird,light,whale,noise
salmon,river,turtle,beach
flamingo,lake,wildebeest,savannah
citizen,immigrant,water,flood
native,immigrant,water,flood
resident,immigrant,water,flood
natural_born,immigrant,water,flood
national,immigrant,water,flood
habitant,immigrant,water,flood
nonimmigrant,immigrant,water,flood
American,immigrant,water,flood
country,immigrant,water,flood
citizen,migrant,water,flood
native,migrant,water,flood
resident,migrant,water,flood
natural_born,migrant,water,flood
national,migrant,water,flood
habitant,migrant,water,flood
nonimmigrant,migrant,water,flood
American,migrant,water,flood
country,migrant,water,flood
citizen,alien,water,flood
native,alien,water,flood
resident,alien,water,flood
natural_born,alien,water,flood
national,alien,water,flood
habitant,alien,water,flood
nonimmigrant,alien,water,flood
American,alien,water,flood
country,alien,water,flood
citizen,refugee,water,flood
native,refugee,water,flood
resident,refugee,water,flood
natural_born,refugee,water,flood
national,refugee,water,flood
habitant,refugee,water,flood
nonimmigrant,refugee,water,flood
American,refugee,water,flood
country,refugee,water,flood
flock,migration,people,immigration
swarm,movement,people,immigration
school,fish,community,immigrant
colony,ants,community,settlement
cargo,goods,migrants,immigration
goods,export,people,emigration
cargo,shipment,migrants,relocation
load,delivery,refugees,arrival
goods,import,migrants,entry
freight,transit,migrants,crossing
inventory,tracking,population,registration
invasion,fortress,migration,border
breach,wall,influx,nation
visitor,house,migration,society
immigration,culture,nutrition,body
immigrant,nation,workers,factory
immigration,inequality,prescription,disease
governance,immigration,compass,traveler
citizen,immigrant,soil,wind
migration,policy,traffic,control
policy,immigration,law,crime
immigration,security,invasion,defense
immigration,society,pollutions,river
immigration,equality,pressures,bridge
ICE,border,enforcement,control
ICE,border,enforcement,oppression
immigrant,nation,contribution,burden
immigrant,nation,contribution,growth
refugee,crisis,policy,restriction
refugee,crisis,policy,protection
citizenship,belonging,test,exclusion
citizenship,belonging,test,inclusion
border,security,wall,safety
border,security,wall,division
ICE,undocumented,mission,law
ICE,undocumented,mission,fear
immigration,economy,labor,competition
immigration,economy,labor,innovation
asylum,law,approval,loophole
asylum,law,approval,justice
deportation,policy,purpose,order
deportation,policy,purpose,cruelty
undocumented,worker,identity,fraud
undocumented,worker,identity,exploitation
sanctuary,immigrant,protection,lawlessness
sanctuary,immigrant,protection,compassion
